LAMMPS FCC Model for CoCuFeNiPd

  8788 atoms

 5 atom types

-1.2151204467749379e+00 4.6215120446773646e+01 xlo xhi
-1.2274788693491190e+00 4.6227478869350719e+01 ylo yhi
-1.2226176983633918e+00 4.6222617698364239e+01 zlo zhi

Atoms
id type x y z
1042 5 1.76034 25.0741 5.12467 
1043 5 -0.120594 27.0181 5.10115 
1047 3 3.69507 27.0107 5.14816 
1667 5 -0.144618 23.222 8.7798 
1668 5 1.77888 23.1896 7.00731 
1671 5 3.70125 23.193 8.85199 
1717 3 -0.129943 25.1023 7.00921 
1718 3 1.77838 25.1056 8.82946 
1719 5 -0.172351 27.0075 8.76654 
1720 5 1.75848 27.0214 6.98443 
1721 5 3.70198 25.1085 6.96224 
1723 5 3.71491 27.0089 8.84652 
2396 5 1.77421 27.0506 10.6042 
2343 3 -0.223693 23.2041 12.4758 
2347 3 3.74082 23.204 12.4873 
3072 3 1.74916 27.0772 14.2772 
2394 5 1.7538 25.126 12.4779 
2395 5 -0.196047 27.0462 12.5157 
3075 3 3.55343 26.9867 16.114 
3073 5 3.6575 25.0659 14.3465 
2399 5 3.64534 27.0604 12.4679 
3019 3 -0.234111 23.2744 16.1686 
3020 5 1.70367 23.1942 14.2614 
3023 3 3.66324 23.1704 16.1475 
3069 5 -0.246399 25.1048 14.2804 
3070 5 1.67148 25.1265 16.1371 
3071 5 -0.202743 27.0307 16.1072 
2344 5 1.76039 23.2017 10.7028 
2397 2 3.71465 25.0635 10.6954 
2393 5 -0.210868 25.1299 10.6407 
3695 3 -0.223532 23.2268 19.7738 
3696 5 1.6906 23.192 17.9895 
3699 3 3.55919 23.1284 19.7856 
3745 3 -0.244664 25.115 17.9852 
3746 5 1.65221 25.1571 19.7702 
3747 3 -0.236559 27.0166 19.7569 
3748 3 1.63247 27.0053 18.0017 
3749 5 3.59825 25.1433 17.9416 
3751 3 3.62729 27.0324 19.8138 
4372 5 1.70169 23.1878 21.6075 
4421 5 -0.27015 25.1107 21.6368 
4424 5 1.68139 27.0619 21.667 
4425 5 3.5809 25.1178 21.6405 
4371 3 -0.22529 23.2484 23.5256 
