LAMMPS FCC Model for CoCuFeNiPd

  8788 atoms

 5 atom types

-1.2530497314545641e+00 4.6253049731452897e+01 xlo xhi
-1.2551195373430890e+00 4.6255119537342502e+01 ylo yhi
-1.2485814740622672e+00 4.6248581474063855e+01 zlo zhi

Atoms
id type x y z
1511 2 -0.259486 12.3999 8.80784 
1512 3 1.55022 12.4059 6.95346 
1513 2 3.36121 10.6423 6.95955 
1515 1 3.32524 12.4542 8.71688 
1561 5 -0.239168 14.2486 6.99124 
1562 1 1.57738 14.2569 8.76646 
1563 2 -0.233023 16.1075 8.81301 
1564 3 1.58366 16.1242 6.97076 
1565 3 3.29149 14.2636 6.96626 
2188 2 1.49929 12.4496 10.5796 
2189 5 3.35571 10.6715 10.5977 
2237 4 -0.269412 14.3297 10.5765 
2240 2 1.53826 16.1124 10.5793 
2241 2 3.28827 14.209 10.5854 
2919 4 3.26267 16.1423 16.1149 
2186 2 1.47574 10.5871 12.4652 
2187 5 -0.25879 12.4426 12.4532 
2916 4 1.47013 16.1087 14.3788 
2915 1 -0.300312 16.1212 16.1701 
2191 4 3.23387 12.4628 12.5142 
2914 3 1.4446 14.3046 16.1737 
2238 2 1.48555 14.321 12.4754 
2239 1 -0.320767 16.1145 12.4463 
2913 2 -0.294139 14.3343 14.3508 
2867 1 3.30849 12.4614 16.1846 
2243 5 3.3308 16.0969 12.521 
2917 2 3.29824 14.2584 14.4059 
2862 2 1.50303 10.6339 16.1982 
2863 2 -0.310877 12.49 16.2012 
2864 4 1.50091 12.5176 14.3833 
2865 5 3.27628 10.6424 14.346 
3537 2 -0.354241 10.6482 17.9887 
3538 4 1.52027 10.6931 19.7855 
3539 4 -0.30763 12.4917 19.7303 
3540 4 1.50429 12.4473 17.9943 
3541 4 3.36194 10.663 17.9664 
3543 3 3.3191 12.4254 19.7634 
3589 3 -0.279035 14.2937 17.9794 
3590 1 1.47626 14.3227 19.7399 
3591 3 -0.274772 16.1076 19.7437 
3592 3 1.43407 16.1805 17.9348 
3593 5 3.26234 14.3324 17.9359 
3595 1 3.24039 16.1891 19.7545 
4213 4 -0.346916 10.7035 21.5173 
4216 2 1.50469 12.4864 21.5277 
4217 1 3.3853 10.6653 21.5615 
4265 2 -0.283457 14.2926 21.5526 
4268 4 1.50225 16.0977 21.5747 
4269 2 3.26368 14.3014 21.5612 
4214 5 1.51172 10.6587 23.3467 
4215 1 -0.273893 12.4854 23.388 
4219 2 3.3269 12.5211 23.4107 
4266 4 1.47916 14.2842 23.4183 
4267 4 -0.335097 16.0851 23.3783 
4271 1 3.31228 16.0559 23.4438 
4947 4 3.38266 16.1522 27.0248 
4945 3 3.34433 14.2479 25.2972 
4891 2 -0.3309 12.4436 27.0536 
4892 4 1.47996 12.525 25.2547 
4944 5 1.53205 16.0732 25.2838 
4895 1 3.35335 12.4657 27.0205 
4941 1 -0.312295 14.3009 25.2293 
4942 3 1.4855 14.2533 27.0477 
4943 3 -0.369789 16.0517 27.0898 
6297 1 3.38349 14.257 32.5203 
6296 5 1.53276 16.0902 32.5371 
5567 2 -0.343056 12.394 30.7442 
5568 5 1.45994 12.3784 28.8452 
6293 3 -0.315838 14.2801 32.6492 
5571 4 3.41703 12.444 30.7357 
5617 3 -0.376752 14.2695 28.822 
5618 5 1.48474 14.2336 30.7167 
5619 2 -0.348673 16.1531 30.7024 
